直播源,#genre#
山东卫视,http://113.9.184.165:16866/udp/229.58.190.160:5000
山东卫视,http://171.213.130.126:6699/udp/239.93.0.168:5140
山东卫视,http://123.144.176.135:8001/udp/225.0.4.199:7980
山东卫视,http://211.158.177.75:8001/udp/225.0.4.199:7980
山东卫视,http://60.220.167.11:8085/rtp/226.0.2.149:9104
山东卫视,http://180.141.51.66:4022/udp/239.81.0.114:4056
山东卫视,http://116.227.100.73:9200/udp/239.45.3.238:5140
山东卫视,http://36.62.125.161:4000/rtp/238.1.78.169:7224
山东卫视,http://220.174.36.41:8888/rtp/239.253.64.208:5140
山西卫视,http://60.220.167.11:8085/rtp/226.0.2.152:9128
深圳卫视,http://118.114.121.52:19999/udp/239.93.0.182:5140
深圳卫视,http://115.58.216.155:4000/rtp/225.1.4.90:1119
深圳卫视,http://182.90.9.145:8888/rtp/239.81.0.103:4056
深圳卫视,http://113.9.184.165:16866/udp/229.58.190.52:5000
深圳卫视,http://171.213.130.126:6699/udp/239.93.0.182:5140
深圳卫视,http://123.144.176.135:8001/udp/225.0.4.202:7980
深圳卫视,http://211.158.177.75:8001/udp/225.0.4.202:7980
深圳卫视,http://60.220.167.11:8085/rtp/226.0.2.147:9088
